Name,Summary,Images,Blue point,Green Point,Purple Point,Keys,Calories,Carbs,Proteins,Fats
Drunken Style Noodles with Shrimp,"This Drunken Style Noodles with Shrimp recipe is inspired by the popular Thai street food pad kee mao, or “drunken noodles.” Drunken Noodles with Shrimp The flavor of these...","https://www.skinnytaste.com/wp-content/uploads/2021/10/Drunken-Style-Noodles-with-Shrimp-9-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/10/Drunken-Style-Noodles-with-Shrimp-9-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/10/Drunken-Style-Noodles-with-Shrimp-9-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/10/Drunken-Style-Noodles-with-Shrimp-9-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/10/Drunken-Style-Noodles-with-Shrimp-9.jpg",9,11,9,"Dairy Free,Gluten Free",487.0,59.5,35.0,11.0
Turkey Cutlets with Parmesan Crust,"These golden, crisp Turkey Cutlets with Parmesan Crust, pan-fried or air-fried, are a quick weeknight dish the whole family will love! Turkey Cutlets with Parmesan Crust These breaded Parmesan-Crusted...","https://www.skinnytaste.com/wp-content/uploads/2015/11/Turkey-Cutlets-with-Parmesan-Crust-8-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2015/11/Turkey-Cutlets-with-Parmesan-Crust-8-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2015/11/Turkey-Cutlets-with-Parmesan-Crust-8-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2015/11/Turkey-Cutlets-with-Parmesan-Crust-8-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2015/11/Turkey-Cutlets-with-Parmesan-Crust-8.jpg",3,4,3,"Kid Friendly,Under 30 Minutes",196.0,7.0,29.0,6.0
Huevos Rancheros,"Huevos rancheros (or rancher’s eggs) are a typical breakfast served at Mexican farms, featuring corn tortillas topped with fried eggs and salsa. Huevos Rancheros These Huevos Rancheros are the...","https://www.skinnytaste.com/wp-content/uploads/2013/04/Huevos-Rancheros-6-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2013/04/Huevos-Rancheros-6-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2013/04/Huevos-Rancheros-6-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2013/04/Huevos-Rancheros-6-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2013/04/Huevos-Rancheros-6.jpg",7,11,6,"Gluten Free,Under 30 Minutes,Vegetarian Meals",414.0,42.0,22.5,18.5
Butternut Squash Ravioli with Sage Butter,"An easy butternut squash ravioli recipe made with wonton wrappers – the perfect shortcut instead of making your own pasta. They are delicate and light, perfect in a sage...","https://www.skinnytaste.com/wp-content/uploads/2021/10/Butternut-Squash-Ravioli-with-Sage-Butter-9-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/10/Butternut-Squash-Ravioli-with-Sage-Butter-9-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/10/Butternut-Squash-Ravioli-with-Sage-Butter-9-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/10/Butternut-Squash-Ravioli-with-Sage-Butter-9-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/10/Butternut-Squash-Ravioli-with-Sage-Butter-9.jpg",8,8,8,Vegetarian Meals,355.0,46.5,11.5,14.5
Easy Black Bean Vegetarian Chili with Spiced Yogurt,This Easy Black Bean Vegetarian Chili topped with Spiced Yogurt takes about 20 minutes to cook but tastes like it simmered for hours. Black Bean Vegetarian Chili with Spiced...,"https://www.skinnytaste.com/wp-content/uploads/2021/09/Easy-Black-Bean-Vegetarian-Chili-20-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/09/Easy-Black-Bean-Vegetarian-Chili-20-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/09/Easy-Black-Bean-Vegetarian-Chili-20-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/09/Easy-Black-Bean-Vegetarian-Chili-20-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/09/Easy-Black-Bean-Vegetarian-Chili-20.jpg",2,5,2,"Gluten Free,Kid Friendly,Under 30 Minutes,Vegetarian Meals",264.0,44.5,14.5,4.5
Air Fryer Chicken Milanese with Mediterranean Salad,"This crispy Air Fryer Breaded Chicken Breast is topped with a Mediterranean Salad of tomatoes, red onion, romaine lettuce, and grated Feta cheese – so good! Air Fryer Mediterranean...","https://www.skinnytaste.com/wp-content/uploads/2021/09/Air-Fryer-Chicken-Milanese-8-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/09/Air-Fryer-Chicken-Milanese-8-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/09/Air-Fryer-Chicken-Milanese-8-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/09/Air-Fryer-Chicken-Milanese-8-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/09/Air-Fryer-Chicken-Milanese-8.jpg",9,13,9,"Air Fryer,Gluten Free,Under 30 Minutes",562.0,28.5,63.0,21.0
Apple Cobbler,"Apple Cobbler made with warm cinnamon apples and a golden cobbler crust. Top it with whipped topping or yogurt, the perfect fall dessert! Apple Cobbler Apple Cobbler is one...","https://www.skinnytaste.com/wp-content/uploads/2011/10/Skinny-Apple-Cobbler-12-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2011/10/Skinny-Apple-Cobbler-12-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2011/10/Skinny-Apple-Cobbler-12-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2011/10/Skinny-Apple-Cobbler-12-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2011/10/Skinny-Apple-Cobbler-12.jpg",6,6,6,Vegetarian Meals,215.0,44.5,1.5,4.0
Salisbury Steak with Mushroom Gravy,This classic Salisbury Steak recipe is smothered in mushroom gravy and ready in under 30 minutes! Salisbury Steak Lean ground beef and turkey are combined to lighten up this...,"https://www.skinnytaste.com/wp-content/uploads/2012/01/Skinny-Salisbury-Steak-with-Mushrooms-6-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2012/01/Skinny-Salisbury-Steak-with-Mushrooms-6-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2012/01/Skinny-Salisbury-Steak-with-Mushrooms-6-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2012/01/Skinny-Salisbury-Steak-with-Mushrooms-6-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2012/01/Skinny-Salisbury-Steak-with-Mushrooms-6.jpg",5,5,5,"Dairy Free,Freezer Meals,Kid Friendly,Low Carb,Under 30 Minutes",247.0,10.5,27.0,11.0
Tofu Stir Fry with Vegetables in a Soy Sesame Sauce,This quick and easy Sesame Soy Tofu Stir Fry is loaded with fresh and colorful vegetables and plant-based protein. Tofu Stir Fry This simple Tofu Veggie Stir Fry turned...,"https://www.skinnytaste.com/wp-content/uploads/2021/09/Tofu-Stir-Fry-8-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/09/Tofu-Stir-Fry-8-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/09/Tofu-Stir-Fry-8-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/09/Tofu-Stir-Fry-8-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/09/Tofu-Stir-Fry-8.jpg",4,8,4,"Dairy Free,Gluten Free,Under 30 Minutes,Vegetarian Meals",294.0,21.5,18.5,16.0
Pumpkin Cream Cheese Muffins,"Pumpkin Cream Cheese Muffins are moist, delicious and perfectly spiced! A delicious fall breakfast made with canned pumpkin, pumpkin spice and a cream cheese swirl topping. Pumpkin Cream Cheese...","https://www.skinnytaste.com/wp-content/uploads/2019/10/Pumpkin-Cream-Cheese-Muffins-5-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2019/10/Pumpkin-Cream-Cheese-Muffins-5-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2019/10/Pumpkin-Cream-Cheese-Muffins-5-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2019/10/Pumpkin-Cream-Cheese-Muffins-5.jpg,https://www.skinnytaste.com/wp-content/uploads/2019/10/Pumpkin-Cream-Cheese-Muffins-5-150x225.jpg",7,7,7,"Freezer Meals,Kid Friendly,Vegetarian Meals",170.0,25.0,3.5,6.0
Autumn Apple and Grape Medley (Fruit Salad),"Sweet, crunchy apples and grapes in a creamy yogurt and cream cheese sauce topped with crushed walnuts and brown sugar are the perfect fall treat or dessert. Autumn Apple...","https://www.skinnytaste.com/wp-content/uploads/2011/09/Autumn-Apple-and-Grape-Medley-4-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2011/09/Autumn-Apple-and-Grape-Medley-4-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2011/09/Autumn-Apple-and-Grape-Medley-4-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2011/09/Autumn-Apple-and-Grape-Medley-4-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2011/09/Autumn-Apple-and-Grape-Medley-4.jpg",5,5,5,"Gluten Free,Kid Friendly,Under 30 Minutes,Vegetarian Meals",209.0,36.0,6.0,8.5
Pumpkin Pie Overnight Oats,"Pumpkin Pie Overnight Oats is a healthy plant-based breakfast made with my homemade pumpkin butter, oat milk, chia and spices, refrigerated overnight and topped with banana and nuts/seeds. No...","https://www.skinnytaste.com/wp-content/uploads/2012/09/Skinny-Pumpkin-Overnight-Oats-9-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2012/09/Skinny-Pumpkin-Overnight-Oats-9-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2012/09/Skinny-Pumpkin-Overnight-Oats-9-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2012/09/Skinny-Pumpkin-Overnight-Oats-9-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2012/09/Skinny-Pumpkin-Overnight-Oats-9.jpg",7,7,4,"Dairy Free,Gluten Free,Kid Friendly,Vegetarian Meals",269.0,40.5,10.0,12.0
Chicken Cutlet Caprese Salad,"Chicken Cutlet Caprese Salad takes advantage of end-of-summer heirloom tomatoes with lightly pan-fried chicken cutlets, fresh mozzarella, and basil. Chicken Cutlet Caprese Salad This Chicken Cutlet Caprese Salad is...","https://www.skinnytaste.com/wp-content/uploads/2021/09/Chicken-Cutlet-Caprese-Salad-7-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/09/Chicken-Cutlet-Caprese-Salad-7-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/09/Chicken-Cutlet-Caprese-Salad-7-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/09/Chicken-Cutlet-Caprese-Salad-7-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/09/Chicken-Cutlet-Caprese-Salad-7.jpg",9,12,9,"Gluten Free,Meal Prep Recipes",462.0,14.5,45.5,24.0
Strawberry Cheesecake Dip,"Strawberry Cheesecake Dip tastes just like cheesecake in dip form – perfect for serving with fresh fruit or graham crackers. Strawberry Cheesecake Dip With Madison back in school, I’ve...","https://www.skinnytaste.com/wp-content/uploads/2021/09/Strawberry-Cheesecake-Dip-10-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/09/Strawberry-Cheesecake-Dip-10-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/09/Strawberry-Cheesecake-Dip-10-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/09/Strawberry-Cheesecake-Dip-10-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/09/Strawberry-Cheesecake-Dip-10.jpg",5,6,5,"Gluten Free,Kid Friendly,Under 30 Minutes",103.0,16.5,3.5,3.0
Beef Stew with Pumpkin,This hearty beef stew cooks low and slow on the stove with pumpkin (or butternut/acorn squash) added when the beef is tender. Serve with crusty bread to soak up...,"https://www.skinnytaste.com/wp-content/uploads/2021/09/Beef-Stew-with-Pumpkin-8-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/09/Beef-Stew-with-Pumpkin-8-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/09/Beef-Stew-with-Pumpkin-8-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/09/Beef-Stew-with-Pumpkin-8-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/09/Beef-Stew-with-Pumpkin-8.jpg",9,9,9,"Dairy Free,Freezer Meals,Kid Friendly,Pressure Cooker Recipes,Slow Cooker Recipes",600.0,16.0,46.0,39.0
Chicken Romano Meatballs,"These flavor-packed Chicken Romano Meatballs stuffed with Romano cheese, herbs, and garlic are topped with a lemony white wine pan sauce. Chicken Romano Meatballs These Chicken Roman Meatballs take...","https://www.skinnytaste.com/wp-content/uploads/2021/09/Chicken-Romano-Meatballs-9-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/09/Chicken-Romano-Meatballs-9-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/09/Chicken-Romano-Meatballs-9-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/09/Chicken-Romano-Meatballs-9-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/09/Chicken-Romano-Meatballs-9.jpg",7,7,7,Gluten Free,295.0,16.0,26.0,13.0
Chicken Cacciatore,"Chicken Cacciatore is a rustic Italian chicken dish made with bell peppers and mushrooms simmered in tomato sauce. Chicken Cacciatore It’s great over pasta, polenta or mashed potatoes. This...","https://www.skinnytaste.com/wp-content/uploads/2008/06/Chicken-Cacciatore-3-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2008/06/Chicken-Cacciatore-3-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2008/06/Chicken-Cacciatore-3-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2008/06/Chicken-Cacciatore-3-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2008/06/Chicken-Cacciatore-3.jpg",7,8,3,"Freezer Meals,Kid Friendly",288.0,43.0,22.5,4.5
Summer Vegetables with Sausage and Potatoes Skillet (One Pot),"This easy one-pot skillet dinner is made with chicken sausage, bell peppers, zucchini, baby red potatoes and fresh herbs. Summer Vegetables with Sausage and Potatoes I love a meal...","https://www.skinnytaste.com/wp-content/uploads/2012/07/Summer-Vegetables-with-Sausage-and-Potatoes-7-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2012/07/Summer-Vegetables-with-Sausage-and-Potatoes-7-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2012/07/Summer-Vegetables-with-Sausage-and-Potatoes-7-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2012/07/Summer-Vegetables-with-Sausage-and-Potatoes-7-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2012/07/Summer-Vegetables-with-Sausage-and-Potatoes-7.jpg",7,7,4,"Dairy Free,Gluten Free,Kid Friendly,Whole 30 Recipes",307.0,33.5,21.0,10.5
Cilantro Lime Chicken Breast (Grilled or Air Fryer),"Cilantro Lime Chicken Breast is marinated in olive oil, lime juice, lime zest, garlic, and cilantro and cooked in the air fryer or on the grill/grill pan. Cilantro Lime...","https://www.skinnytaste.com/wp-content/uploads/2021/08/Cilantro-Lime-Chicken-Breast-5-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/08/Cilantro-Lime-Chicken-Breast-5-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/08/Cilantro-Lime-Chicken-Breast-5-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/08/Cilantro-Lime-Chicken-Breast-5-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/08/Cilantro-Lime-Chicken-Breast-5.jpg",0,3,0,"Air Fryer,Dairy Free,Gluten Free,Low Carb",217.0,0.5,38.5,5.5
Spicy Sriracha Tofu Rice Bowls (Air Fryer or Oven),These Spicy Sriracha Tofu Rice Bowls (air fryer or oven directions) make a flavorful protein-packed meatless meal that comes together quickly! Sriracha Tofu Rice Bowls If you like spicy...,"https://www.skinnytaste.com/wp-content/uploads/2021/08/Spicy-Sriracha-Tofu-Rice-Bowls-11-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/08/Spicy-Sriracha-Tofu-Rice-Bowls-11-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/08/Spicy-Sriracha-Tofu-Rice-Bowls-11-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/08/Spicy-Sriracha-Tofu-Rice-Bowls-11-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/08/Spicy-Sriracha-Tofu-Rice-Bowls-11.jpg",6,11,3,"Air Fryer,Dairy Free,Gluten Free,Under 30 Minutes,Vegetarian Meals",453.0,38.0,29.0,20.0
Banana Nut Protein Oats,"This protein-packed bowl of oatmeal, sweetened with ripe banana and just a touch of maple syrup, uses vanilla protein shake, egg whites to add more protein and make the...","https://www.skinnytaste.com/wp-content/uploads/2021/08/Banana-Nut-Protein-Oats-7-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/08/Banana-Nut-Protein-Oats-7-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/08/Banana-Nut-Protein-Oats-7-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/08/Banana-Nut-Protein-Oats-7-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/08/Banana-Nut-Protein-Oats-7.jpg",6,6,3,"Gluten Free,Under 30 Minutes,Vegetarian Meals",388.0,63.5,18.5,9.0
Sausage Pepper and Onion Stromboli (Stuffed Sausage Bread),"Sausage, Pepper and Onion Stromboli (Stuffed Sausage Bread) stuffed with Italian chicken sausage, peppers, onions, pomodoro and mozzarella. Sausage Pepper and Onion Stromboli This sausage and pepper bread is...","https://www.skinnytaste.com/wp-content/uploads/2021/08/Spicy-Sausage-and-Pepper-Bread-11-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/08/Spicy-Sausage-and-Pepper-Bread-11-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/08/Spicy-Sausage-and-Pepper-Bread-11-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/08/Spicy-Sausage-and-Pepper-Bread-11-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/08/Spicy-Sausage-and-Pepper-Bread-11.jpg",7,7,7,Kid Friendly,272.0,43.5,12.5,5.5
Oven Fried Chicken (Air Fryer Fried Chicken),This oven “fried” chicken is extra crispy from a secret ingredient – bran flakes! It’s moist yet still light since little oil is used. You can also make it...,"https://www.skinnytaste.com/wp-content/uploads/2009/07/Oven-Fried-Chicken-6-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2009/07/Oven-Fried-Chicken-6-500x750.jpg,https://www.skinnytaste.com/wp-content/uploads/2009/07/Oven-Fried-Chicken-6-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2009/07/Oven-Fried-Chicken-6-150x225.jpg,https://www.skinnytaste.com/wp-content/uploads/2009/07/Oven-Fried-Chicken-6.jpg",5,5,5,"Air Fryer,Dairy Free,Gluten Free,Kid Friendly",158.0,15.0,14.5,5.0
The Skinnytaste Ultimate Meal Planner,"I’m so excited to share Skinnytaste Ultimate Meal Planner is now available for pre-order! The Skinnytaste Ultimate Meal Planner When I began my health journey a few years ago,...","https://www.skinnytaste.com/wp-content/uploads/2021/08/SkinnytasteUltimateMealPlanner-260x390.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/08/SkinnytasteUltimateMealPlanner-170x255.jpg,https://www.skinnytaste.com/wp-content/uploads/2021/08/SkinnytasteUltimateMealPlanner-150x225.jpg",,,,,,,,
